cod;nome;período;ValorMulheres;ValorMulheresNegras;ValorMulheresNaoNegras
42;SC;2004;79;7.0;63.0
42;SC;2005;68;6.0;54.0
42;SC;2006;92;15.0;70.0
42;SC;2007;70;6.0;60.0
42;SC;2008;86;8.0;74.0
42;SC;2009;93;8.0;82.0
42;SC;2010;110;15.0;94.0
42;SC;2011;74;5.0;68.0
42;SC;2012;104;18.0;85.0
42;SC;2013;102;16.0;82.0
42;SC;2014;111;21.0;88.0
42;SC;2015;97;18.0;79.0
42;SC;2016;107;27.0;80.0
42;SC;2017;109;23.0;86.0
42;SC;2018;91;17.0;74.0
42;SC;2019;114;26.0;86.0
42;SC;2020;86;18.0;67.0
42;SC;2021;92;11.0;79.0
42;SC;2022;93;16.0;76.0
42;SC;2023;105;19.0;87.0
43;RS;1989;142;;
43;RS;1990;157;;
43;RS;1991;156;;
43;RS;1992;161;;
43;RS;1993;113;;
43;RS;1994;138;;
43;RS;1995;151;;
43;RS;1996;192;0.0;0.0
43;RS;1997;190;23.0;144.0
43;RS;1998;181;30.0;137.0
43;RS;1999;163;21.0;134.0
43;RS;2000;175;22.0;147.0
43;RS;2001;180;17.0;156.0
43;RS;2002;198;34.0;162.0
43;RS;2003;177;23.0;152.0
43;RS;2004;195;26.0;167.0
43;RS;2005;209;22.0;186.0
43;RS;2006;162;30.0;128.0
43;RS;2007;193;29.0;161.0
43;RS;2008;219;32.0;184.0
43;RS;2009;225;36.0;186.0
43;RS;2010;227;38.0;185.0
43;RS;2011;202;21.0;180.0
43;RS;2012;247;39.0;202.0
43;RS;2013;210;33.0;173.0
43;RS;2014;250;51.0;196.0
43;RS;2015;284;55.0;223.0
43;RS;2016;308;50.0;250.0
43;RS;2017;302;61.0;238.0
43;RS;2018;256;54.0;201.0
43;RS;2019;236;52.0;177.0
43;RS;2020;214;49.0;162.0
43;RS;2021;230;45.0;182.0
43;RS;2022;250;57.0;192.0
43;RS;2023;224;50.0;173.0
50;MS;1989;39;;
50;MS;1990;40;;
50;MS;1991;47;;
50;MS;1992;58;;
50;MS;1993;39;;
50;MS;1994;48;;
50;MS;1995;51;;
50;MS;1996;79;0.0;0.0
50;MS;1997;71;0.0;0.0
50;MS;1998;73;2.0;3.0
50;MS;1999;63;13.0;19.0
50;MS;2000;72;30.0;38.0
